Clio,1407,607
Whig,1464,603
Maclean House,1362,371
Architecture School,1721,696
Robertson,1900,686
Woodrow Wilson,1900,686
WoodyWoo,1900,686
Woody Woo,1900,686
Richardson,1282,473
Alexander,1282,473
Fine,1960,1113
Berlind Theatre,1077,1082
Lewis,1966,1048
Cannon Green,1439,533
Chancellor Green,1526,437
Career Services,1128,688
Chapel,1645,532
New South,1215,1199
Fields Center,2243,708
West College,1353,529
Firestone,1679,465
Frist,1768,875
Garden Theatre,1717,265
McCosh,1738,619
Labyrinth,1547,283
McCarter,1079,1023
Nassau Hall,1436,472
University Store,1128,688
U Store,1128,688
U-Store,1128,688
UStore,1128,688
Prospect House,1637,783
Public Safety,1379,1344
P-Safe,1379,1344
P Safe,1379,1344
PSafe,1379,1344
Jadwin Gymnasium,2270,1547
Jadwin Gym,2270,1547
Baker Rink,1307,1275
DeNunzio,2437,1532
Dillon,1336,842
Roberts Stadium,1724,1454
Soccer Stadium,1724,1454
Football Stadium,2259,1166
Princeton Stadium,2259,1166
Palmer Square,1298,195
Dinky,1142,1366
Wawa,1139,1408
1915,1484,1074
1967,1581,1223
1976,1608,1160
Bloomberg,1505,1295
Bogle,1606,1190
Wilf,1658,1185
Wu,1534,1109
Yoseloff,1569,1186
Studio 34,1581,1223
Studio34,1581,1223
J Street,1571,1066
J-Street,1571,1066
JStreet,1571,1066
Forbes,930,1312
Blair,1159,550
Edwards,1364,676
Hamilton,1102,426
Joline,1128,466
Little,1249,697
Buyers,1216,571
Campbell,1211,479
Holder,1232,393
Madison,1125,366
Witherspoon,1286,595
1981,1386,1216
Baker Hall,1339,1218
Community,1386,1132
Fisher,1351,1046
Lauritzen,1287,1180
Hargadon,1293,1143
Murley-Pivirotto,1302,1130
Wendell,1320,1090
1927,1627,1067
1937,1618,952
1938,1674,1091
1939,1561,1015
Dodge-Osborn,1644,1025
Feinberg,1580,958
Gauss,1534,1046
Walker,1519,982
Wilcox,1596,1099
1901,1213,733
1903,1556,890
Brown,1475,844
Cuyler,1496,914
Dod,1408,755
Foulke,1145,715
Henry,1151,787
Laughlin,1214,820
Lockhart,1133,646
Patton,1472,1011
Pyne,1264,919
Scully,1638,1253
Spelman,1239,1004
Wright,1466,925
Graduate College,485,1330
Grad College,485,1330
Lakeside,1302,2069
Campus,1884,799
East Pyne,1528,501
Engineering Quadrangle,2393,508
Engineering Quad,2393,508
E Quad,2393,508
E-Quad,2393,508
EQuad,2393,508
Poe,1665,1342
Guyot,1794,1025
Icahn,1857,1288
McDonnell,1974,1157
Neuroscience,1859,1458
Frick,2085,1387
Dickinson,1766,561
Burr,1792,376
Sherrard,2165,588
Andlinger,2411,613
Marx,1794,692
1879,1800,729
Murray,1573,619
Art Museum,1528,726
